बुधवार	NN	B	O	O
टीसीएस	NN	O	O	O
और	CC	O	O	O
ओएनजीसी	NN	O	O	O
प्रमुख	JJ	O	B-STAT	O
हैं	VM	O	I-STAT	O
.	SYM	O	O	O
वहीं	PRP	O	O	O
,	SYM	O	O	O
यस	RDP	O	O	O
बैंक	NN	O	O	O
,	SYM	O	O	O
टाटा	XC	O	O	O
मोटर्स	NN	O	O	O
,	SYM	O	O	O
एसबीआई	NN	O	O	O
,	SYM	O	O	O
आईसीआईसीआई	JJ	O	O	O
बैंक	NN	O	O	O
,	SYM	O	O	O
टाटा	XC	O	O	O
स्टील	NNP	O	O	O
और	CC	O	O	O
ऐक्सिस	XC	O	O	O
बैंक	NN	O	O	O
में	PSP	O	O	O
गिरावट	NN	O	O	O
नजर	NN	O	B-MISC	OCC
आ	VM	O	I-MISC	O
रही	VAUX	O	I-MISC	O
है	VAUX	O	I-MISC	O
.	SYM	O	O	O
भारती	JJ	O	O	O
एयरटेल	NN	O	O	O
और	CC	O	O	O
रिलायंस	NN	O	O	O
के	PSP	O	O	O
शेयरों	NN	O	O	O
में	PSP	O	O	O
2	QC	O	O	O
पर्सेंट	NN	O	O	O
से	PSP	O	O	O
ज्यादा	QF	O	O	O
की	PSP	O	O	O
तेजी	RB	O	B-STAT	O
है	VM	O	I-STAT	O
और	CC	O	O	O
यस	DEM	O	O	O
बैंक	NN	O	O	O
में	PSP	O	O	O
2	QC	O	O	O
पर्सेंट	NN	O	O	O
से	PSP	O	O	O
ज्यादा	QF	O	O	O
की	PSP	O	O	O
गिरावट	NN	O	B-MISC	O
.	SYM	O	O	O
नैशनल	XC	O	O	O
स्टॉक	XC	O	O	O
एक्सचेंज	NNP	O	O	O
के	PSP	O	O	O
प्रमुख	JJ	O	O	O
इंडेक्स	XC	O	O	O
निफ्टी	NN	O	O	O
की	PSP	O	O	O
बात	NN	O	B-MISC	OCC
की	VM	O	I-MISC	O
जाए	VAUX	O	I-MISC	O
तो	CC	O	O	O
इंडेक्स	NNP	O	O	O
पर	PSP	O	O	O
ग्रासिम	XC	O	O	O
,	SYM	O	O	O
भारती	XC	O	O	O
एयरटेल	NNP	O	O	O
,	SYM	O	O	O
रिलायंस	XC	O	O	O
,	SYM	O	O	O
इन्फोसिस	NN	O	O	O
और	CC	O	O	O
टीसीएस	NN	O	O	O
में	PSP	O	O	O
सबसे	INTF	O	O	O
ज्यादा	QF	O	O	O
तेजी	RB	O	B-MISC	O
देखने	VM	O	I-MISC	OCC
को	PSP	O	O	O
मिल	VM	O	B-MISC	O
रही	VAUX	O	I-MISC	O
है	VAUX	O	I-MISC	O
,	SYM	O	O	O
जबकि	CC	O	O	O
यस	DEM	O	O	O
बैंक	NN	O	O	O
,	SYM	O	O	O
टाटा	XC	O	O	O
मोटर्स	NN	O	O	O
,	SYM	O	O	O
आईसीआईसीाई	NN	O	O	O
बैंक	NN	O	O	O
के	PSP	O	O	O
शेयरों	NN	O	O	O
में	PSP	O	O	O
गिरावट	NN	O	O	O
का	PSP	O	O	O
रुख	NN	O	B-STAT	O
है	VM	O	I-STAT	O
.	SYM	O	O	O
यहां	PRP	O	O	O
यस	DEM	O	O	O
बैंक	NN	O	O	O
3	QC	O	O	O
पर्सेंट	NN	O	O	O
से	PSP	O	O	O
ज्यादा	QF	O	O	O
नी	NEG	O	B-MISC	O
चे	VM	O	I-MISC	O
कारोबार	NN	O	B-MISC	OCC
करता	VM	O	I-MISC	O
देखा	VM	O	B-MISC	OCC
गया	VAUX	O	I-MISC	O
.	SYM	O	O	O
