पिछले	JJ	B	O	O
है	VM	O	B-MISC	O
कि	CC	O	O	O
इन	DEM	O	O	O
पॉइंट्स	NN	O	O	O
को	PSP	O	O	O
फ्री	JJ	O	O	O
एयर	XC	O	O	O
माइल्स	NNP	O	O	O
या	CC	O	O	O
डिस्काउंट	XC	O	O	O
एयर	XC	O	O	O
टिकट	NN	O	O	O
में	PSP	O	O	O
बदला	VM	O	B-MISC	OCC
जा	VAUX	O	I-MISC	O
सकता	VAUX	O	I-MISC	O
है	VAUX	O	I-MISC	O
,	SYM	O	O	O
और	CC	O	O	O
माइल्स	NN	O	O	O
का	PSP	O	O	O
इस्तेमाल	NN	O	O	O
सीट	NN	O	B-MISC	OCC
अपग्रेड	NN	O	I-MISC	O
कराने	VM	O	I-MISC	O
के	PSP	O	O	O
लिए	PSP	O	B-MISC	OCC
किया	VM	O	I-MISC	O
जा	VAUX	O	I-MISC	O
सकता	VAUX	O	I-MISC	O
है	VAUX	O	I-MISC	O
लेकिन	CC	O	O	O
,	SYM	O	O	O
इसे	PRP	O	O	O
सिर्फ	RB	O	O	O
एयर	NN	O	O	O
माइल्स	NNP	O	O	O
के	PSP	O	O	O
लिए	PSP	O	O	O
ही	RP	O	O	O
रिडीम	NN	O	O	O
नहीं	NEG	O	B-MISC	OCC
किया	VM	O	I-MISC	O
जा	VAUX	O	I-MISC	O
सकता	VAUX	O	I-MISC	O
है	VAUX	O	I-MISC	O
.	SYM	O	O	O
आप	PRP	O	O	O
अपने	PRP	O	O	O
क्रेडिट	JJ	O	O	O
कार्ड	NN	O	O	O
के	PSP	O	O	O
प्रकार	NN	O	O	O
के	PSP	O	O	O
आधार	NN	O	O	O
पर	PSP	O	O	O
ट्रैवल	NN	O	O	O
से	PSP	O	O	O
संबंधित	JJ	O	O	O
अन्य	JJ	O	O	O
खर्च	NN	O	O	O
जैसे	CC	O	O	O
रेस्ट्रॉन्ट	NN	O	O	O
,	SYM	O	O	O
होटल	NN	O	O	O
चेन	XC	O	O	O
,	SYM	O	O	O
मूवी	JJ	O	O	O
थिएटर	NN	O	O	O
,	SYM	O	O	O
इत्यादि	RP	O	O	O
सहित	PSP	O	O	O
कई	QF	O	O	O
पार्टनर	NN	O	O	O
मर्चेंट्स	NN	O	O	O
में	PSP	O	O	O
स्पेशल	JJ	O	O	O
डिस्काउंट	NN	O	O	O
पाने	VM	O	B-MISC	O
के	PSP	O	O	O
लिए	PSP	O	O	O
भी	RP	O	O	O
अपने	PRP	O	O	O
पॉइंट्स	NN	O	O	O
को	PSP	O	O	O
रिडीम	NN	O	B-MISC	OCC
कर	VM	O	I-MISC	O
सकते	VAUX	O	I-MISC	O
हैं	VAUX	O	I-MISC	O
.	SYM	O	O	O
ट्रैवल	XC	O	O	O
क्रेडिट	XC	O	O	O
कार्ड्स	NN	O	O	O
के	PSP	O	O	O
साथ	NST	O	O	O
कुछ	QF	O	O	O
अन्य	JJ	O	O	O
लाभ	NN	O	O	O
और	CC	O	O	O
सुविधाएं	NN	O	O	O
जैसे	RP	O	O	O
कॉम्प्लिमेंटरी	JJ	O	O	O
ट्रैवल	XC	O	O	O
इंश्योरेंस	XC	O	O	O
,	SYM	O	O	O
फ्री	RDP	O	O	O
लाउंज	NN	O	O	O
एक्सेस	NN	O	O	O
,	SYM	O	O	O
कंसीयर्ज	NN	O	O	O
सर्विस	NN	O	O	O
या	CC	O	O	O
द्वारपाल	NN	O	O	O
सेवाएं	NN	O	O	O
,	SYM	O	O	O
इत्यादि	RP	O	O	O
भी	RP	O	O	O
मिलती	VM	O	B-MISC	OCC
हैं	VAUX	O	I-MISC	O
.	SYM	O	O	O
एयर	XC	O	O	O
माइल्स	NNP	O	O	O
वाले	PSP	O	O	O
क्रेडिट	NN	O	O	O
कार्ड	NN	O	O	O
का	PSP	O	O	O
इस्तेमाल	NN	O	B-MISC	OCC
करने	VM	O	I-MISC	O
के	PSP	O	O	O
बारे	PSP	O	O	O
में	PSP	O	O	O
कुछ	QF	O	O	O
आम	JJ	O	O	O
गलतफहमियां	NN	O	B-MISC	O
हैं	VM	O	I-MISC	O
और	CC	O	O	O
इनमें	PRP	O	O	O
से	PSP	O	O	O
एक	QC	O	O	O
गलतफहमी	NN	O	O	O
यह	PRP	O	O	O
भी	RP	O	O	O
है	VM	O	B-MISC	O
कि	CC	O	O	O
यह	PRP	O	O	O
सिर्फ	RB	O	O	O
बार-बार	JJ	O	O	O
हवाई	XC	O	O	O
जहाज	NN	O	O	O
से	PSP	O	O	O
आने-जाने	VM	O	O	O
वालों	PSP	O	O	O
के	PSP	O	O	O
लिए	PSP	O	O	O
उपयोगी	JJ	O	B-STAT	DEC
है	VM	O	I-STAT	O
लेकिन	CC	O	O	O
,	SYM	O	O	O
असलियत	NN	O	O	O
यह	PRP	O	O	O
है	VM	O	I-STAT	O
कि	CC	O	O	O
यह	PRP	O	O	O
कभी-कभी	PRP	O	O	O
यात्रा	NN	O	B-MISC	OCC
करने	VM	O	I-MISC	O
वालों	PSP	O	O	O
के	PSP	O	O	O
लिए	PSP	O	O	O
भी	RP	O	O	O
उतना	QF	O	O	O
ही	RP	O	O	O
फायदेमंद	NN	O	B-MISC	O
है	VM	O	I-MISC	O
और	CC	O	O	O
वे	PRP	O	O	O
भी	RP	O	O	O
कुछ	QF	O	O	O
महीनों	NN	O	O	O
में	PSP	O	O	O
जमे	VM	O	B-MISC	O
पॉइंट्स	NN	O	O	O
को	PSP	O	O	O
रिडीम	XC	O	B-MISC	O
करके	VM	O	I-MISC	O
अपने	PRP	O	O	O
ऐनुअल	XC	O	O	O
इंटरनैशनल	NNP	O	O	O
वकेशन	NN	O	O	O
के	PSP	O	O	O
लिए	PSP	O	O	O
डिस्काउंट	NN	O	O	O
या	CC	O	O	O
फ्री	XC	O	O	O
एयर	XC	O	O	O
टिकट	NN	O	B-MISC	OCC
ले	VM	O	I-MISC	O
सकते	VAUX	O	I-MISC	O
हैं	VAUX	O	I-MISC	O
या	CC	O	O	O
सीट	NN	O	O	O
अपग्रेड	NN	O	B-MISC	OCC
करा	VM	O	I-MISC	O
सकते	VAUX	O	I-MISC	O
हैं	VAUX	O	I-MISC	O
.	SYM	O	O	O
लेकिन	CC	O	O	O
,	SYM	O	O	O
एक	QC	O	O	O
एयर	XC	O	O	O
माइल्स	NNP	O	O	O
क्रेडिट	JJ	O	O	O
कार्ड	NN	O	O	O
के	PSP	O	O	O
लिए	PSP	O	O	O
अप्लाई	NN	O	B-MISC	OCC
करने	VM	O	I-MISC	O
से	PSP	O	O	O
पहले	NST	O	O	O
कुछ	QF	O	O	O
महत्वपूर्ण	JJ	O	O	O
बातों	NN	O	O	O
को	PSP	O	O	O
ध्यान	NN	O	O	O
में	PSP	O	O	O
रखना	VM	O	B-STAT	OCC
जरूरी	JJ	O	B-STAT	O
है	VM	O	I-STAT	O
.	SYM	O	O	O
